Token: OPENTAG, Valor: <?php, Linea: 1
Token: VARIABLE, Valor: $esIdentico, Linea: 17
Token: EQUALS, Valor: =, Linea: 17
Token: LPAREN, Valor: (, Linea: 17
Token: VARIABLE, Valor: $variable1, Linea: 17
Token: STRICTEQ, Valor: ===, Linea: 17
Token: INT, Valor: 10, Linea: 17
Token: RPAREN, Valor: ), Linea: 17
Token: SEMICOLON, Valor: ;, Linea: 17
Token: VARIABLE, Valor: $esMenor, Linea: 18
Token: EQUALS, Valor: =, Linea: 18
Token: LPAREN, Valor: (, Linea: 18
Token: VARIABLE, Valor: $variable1, Linea: 18
Token: LT, Valor: <, Linea: 18
Token: VARIABLE, Valor: $variable2, Linea: 18
Token: RPAREN, Valor: ), Linea: 18
Token: SEMICOLON, Valor: ;, Linea: 18
Token: VARIABLE, Valor: $esMayor, Linea: 19
Token: EQUALS, Valor: =, Linea: 19
Token: LPAREN, Valor: (, Linea: 19
Token: VARIABLE, Valor: $variable1, Linea: 19
Token: GT, Valor: >, Linea: 19
Token: VARIABLE, Valor: $variable2, Linea: 19
Token: RPAREN, Valor: ), Linea: 19
Token: SEMICOLON, Valor: ;, Linea: 19
Token: VARIABLE, Valor: $esDiferente, Linea: 20
Token: EQUALS, Valor: =, Linea: 20
Token: LPAREN, Valor: (, Linea: 20
Token: VARIABLE, Valor: $variable1, Linea: 20
Token: NEQ, Valor: !=, Linea: 20
Token: VARIABLE, Valor: $variable2, Linea: 20
Token: RPAREN, Valor: ), Linea: 20
Token: SEMICOLON, Valor: ;, Linea: 20
Token: IF, Valor: if, Linea: 23
Token: LPAREN, Valor: (, Linea: 23
Token: VARIABLE, Valor: $variable1, Linea: 23
Token: GT, Valor: >, Linea: 23
Token: INT, Valor: 5, Linea: 23
Token: RPAREN, Valor: ), Linea: 23
Token: LBRACE, Valor: {, Linea: 23
Token: ECHO, Valor: echo, Linea: 24
Token: STRING, Valor: Variable 1 es mayor que 5\n, Linea: 24
Token: SEMICOLON, Valor: ;, Linea: 24
Token: RBRACE, Valor: }, Linea: 25
Token: ELSEIF, Valor: elseif, Linea: 25
Token: LPAREN, Valor: (, Linea: 25
Token: VARIABLE, Valor: $variable1, Linea: 25
Token: EQ, Valor: ==, Linea: 25
Token: INT, Valor: 5, Linea: 25
Token: RPAREN, Valor: ), Linea: 25
Token: LBRACE, Valor: {, Linea: 25
Token: ECHO, Valor: echo, Linea: 26
Token: STRING, Valor: Variable 1 es igual a 5\n, Linea: 26
Token: SEMICOLON, Valor: ;, Linea: 26
Token: RBRACE, Valor: }, Linea: 27
Token: ELSE, Valor: else, Linea: 27
Token: LBRACE, Valor: {, Linea: 27
Token: ECHO, Valor: echo, Linea: 28
Token: STRING, Valor: Variable 1 es menor que 5\n, Linea: 28
Token: SEMICOLON, Valor: ;, Linea: 28
Token: RBRACE, Valor: }, Linea: 29
Token: FOR, Valor: for, Linea: 31
Token: LPAREN, Valor: (, Linea: 31
Token: VARIABLE, Valor: $i, Linea: 31
Token: EQUALS, Valor: =, Linea: 31
Token: INT, Valor: 0, Linea: 31
Token: SEMICOLON, Valor: ;, Linea: 31
Token: VARIABLE, Valor: $i, Linea: 31
Token: LT, Valor: <, Linea: 31
Token: INT, Valor: 5, Linea: 31
Token: SEMICOLON, Valor: ;, Linea: 31
Token: VARIABLE, Valor: $i, Linea: 31
Token: PLUS, Valor: +, Linea: 31
Token: PLUS, Valor: +, Linea: 31
Token: RPAREN, Valor: ), Linea: 31
Token: LBRACE, Valor: {, Linea: 31
Token: ECHO, Valor: echo, Linea: 32
Token: STRING, Valor: Iteración: $i\n, Linea: 32
Token: SEMICOLON, Valor: ;, Linea: 32
Token: RBRACE, Valor: }, Linea: 33
Token: VARIABLE, Valor: $esVerdadero, Linea: 36
Token: EQUALS, Valor: =, Linea: 36
Token: LPAREN, Valor: (, Linea: 36
Token: VARIABLE, Valor: $booleano, Linea: 36
Token: AND, Valor: &&, Linea: 36
Token: LPAREN, Valor: (, Linea: 36
Token: VARIABLE, Valor: $variable1, Linea: 36
Token: GT, Valor: >, Linea: 36
Token: INT, Valor: 5, Linea: 36
Token: RPAREN, Valor: ), Linea: 36
Token: RPAREN, Valor: ), Linea: 36
Token: OR, Valor: ||, Linea: 36
Token: NOT, Valor: !, Linea: 36
Token: VARIABLE, Valor: $booleano, Linea: 36
Token: SEMICOLON, Valor: ;, Linea: 36
Token: ID, Valor: Otro, Linea: 39
Token: ID, Valor: comentario, Linea: 39
Token: ID, Valor: de, Linea: 39
Token: ID, Valor: una, Linea: 39
Token: ID, Valor: l, Linea: 39
Token: ID, Valor: nea, Linea: 39
Token: FUNCTION, Valor: function, Linea: 44
Token: ID, Valor: suma, Linea: 44
Token: LPAREN, Valor: (, Linea: 44
Token: VARIABLE, Valor: $a, Linea: 44
Token: COMMA, Valor: ,, Linea: 44
Token: VARIABLE, Valor: $b, Linea: 44
Token: RPAREN, Valor: ), Linea: 44
Token: LBRACE, Valor: {, Linea: 44
Token: RETURN, Valor: return, Linea: 45
Token: VARIABLE, Valor: $a, Linea: 45
Token: PLUS, Valor: +, Linea: 45
Token: VARIABLE, Valor: $b, Linea: 45
Token: SEMICOLON, Valor: ;, Linea: 45
Token: RBRACE, Valor: }, Linea: 46
Token: VARIABLE, Valor: $resultado, Linea: 49
Token: EQUALS, Valor: =, Linea: 49
Token: ID, Valor: suma, Linea: 49
Token: LPAREN, Valor: (, Linea: 49
Token: VARIABLE, Valor: $variable1, Linea: 49
Token: COMMA, Valor: ,, Linea: 49
Token: VARIABLE, Valor: $variable2, Linea: 49
Token: RPAREN, Valor: ), Linea: 49
Token: SEMICOLON, Valor: ;, Linea: 49
Token: ECHO, Valor: echo, Linea: 50
Token: STRING, Valor: Resultado de la suma: $resultado\n, Linea: 50
Token: SEMICOLON, Valor: ;, Linea: 50
Token: VARIABLE, Valor: $cadena, Linea: 53
Token: CONCATENATEEQUAL, Valor: .=, Linea: 53
Token: STRING, Valor:  ¡Bienvenido!, Linea: 53
Token: SEMICOLON, Valor: ;, Linea: 53
Token: VARIABLE, Valor: $variable1, Linea: 54
Token: PLUSEQUAL, Valor: +=, Linea: 54
Token: INT, Valor: 5, Linea: 54
Token: SEMICOLON, Valor: ;, Linea: 54
Token: CLOSETAG, Valor: ?>, Linea: 55
